index,name,servces,rating,bonus
47, Bombay Palace," Indian, Curry, Chicken, and Asian", 4.7 ,
48, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
49, Diba," Mezze, Middle Eastern, Dessert, and Chicken", 4.5 ,
50, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
51, Sidechick by Patty & Bun	," American, Chicken, Healthy, and Alcohol", 4.7 ,
52, Korean Gangnam Style KFC," Korean, Fried chicken, Chicken, and BBQ", 4.6 ,
53, Plum Valley Restaurant 梅花村," Dim Sum, Noodles, Cantonese, and Chinese", 4.7 ,
54, Poke Circle," Salads, Poke, Hawaiian, and Asian", 4.8 ,
55, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
56, Local Greens by Kitchen Ventures," Healthy, British, Salads, and Chicken", 4.8 ,
57, Bombay Street Food," Indian, Chicken, Asian, and Curry", 4.8 ,
58, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
59, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
60, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
61, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
62, Barburrito 🌯," American, Burritos, Mexican, and Chicken", 4.5 ,
63, GFC Chicken Shop by LEON," Dessert, Burgers, Chicken, and American", 4.4 ,
64, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
65, Big Easy - Chelsea," BBQ, American, Burgers, and Salads", 4.4 ,
66, Haidilao Hot Pot 海底捞," Chinese, Hot pot, Chicken, and Sichuan", 4.9 ,
67, Chicken and Cevapi, Chicken and Mediterranean, 4.7 ,
68, ORPHALESE," Dessert, Middle Eastern, Mezze, and Lebanese", 4.7 ,
69, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
70, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
