index,name,servces,rating,bonus
1, Nando's, Chicken and Burgers, 4.7 ,"Free
delivery"
2, KFC ," Chicken, Fried chicken, American, and Wings", 4.4 ,"Free
delivery"
3, Farmer J," Chicken, Mediterranean, British, and Healthy", 4.8 ,"Free
delivery"
4, Wingstop," American, Wings, Fried chicken, and Chicken", 4.7 ,"Meal
deals"
5, Nando's - Kensington High Street, Chicken and Burgers, 4.8 ,"Free
delivery"
6, Cocotte 🐓," Dessert, Chicken, Salads, and Healthy", 4.8 ,"Free
delivery"
7, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
8, ⚡ TASTY KOREA ⚡," Korean, Chicken, Noodles, and Ramen", 4.8 ,"Free
delivery"
9, 🍖 Bullgogi 🍖," Korean, BBQ, Noodles, and Dumplings", 4.8 ,"Free
delivery"
10, Pasta Evangelists ," Italian, Pasta, Healthy, and Seafood", 4.6 ,"Meal
deals"
11, Kishmish," Indian, Curry, Seafood, and Chicken", 4.7 ,"Free
delivery"
12, Hache," Burgers, American, Chicken, and Alcohol", 4.6 ,"Free
delivery"
13, Chosen Bun Burgers," American, Burgers, Milkshakes, and Chicken", 4.6 ,"Free
delivery"
14, Kalamaki Street Greek," Mediterranean, Greek, Salads, and Chicken", 4.7 ,"Meal
deals"
15, Patty & Bun ," American, Burgers, Fried chicken, and Chicken", 4.6 ,"20%
off"
16," 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️ - 20"" Pizzas"," Pizza, Dessert, Chicken, and American", 4.5 ,"Free
delivery"
17, Chilango," Burritos, Mexican, Chicken, and Salads", 4.6 ,"Meal
deals"
18, Wing Wing," Chicken, American, Korean, and Wings", 4.6 ,"Meal
deals"
19, Big Fernand," French, Burgers, Chicken, and American", 4.7 ,"Meal
deals"
20, Simple Health Kitchen," Burgers, Chicken, Salads, and British", 4.8 ,"Free
delivery"
21, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.5 ,"10%
off"
22, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,"30%
off"
23, Gold Mine Restaurant 金山楼," Chinese, Chicken, BBQ, and Seafood", 4.8 ,"Free
delivery"
24, Joe & Co," American, Burgers, Wings, and Dessert", 4.6 ,"15%
off"
25, Tian Fu 天府布衣," Chinese, Sichuan, Seafood, and Asian", 4.7 ,"Free
delivery"
26, Sugoi JPN," Japanese, Tacos, Sushi, and Chicken", 4.7 ,"30%
off"
27, CHIK'N," American, Sandwiches, Chicken, and Fried chicken", 4.6 ,
28, Lost Boys Chicken," American, Burgers, Chicken, and Fried chicken", 4.6 ,
29, Go Viet," Vietnamese, Noodles, Chicken, and Healthy", 4.8 ,
30, Dirty Bones," Burgers, Chicken, American, and British", 4.5 ,
31, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,
32, The Doner Kebab," Lebanese, Kebab, Turkish, and Middle Eastern",no rating,
33, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,
34, Pasar Malam - Malay Eatery," Chicken, Noodles, Alcohol, and Asian", 4.4 ,
35, Mr Chow Chinese Takeaway," Chinese, Chicken, and Noodles", 3.9 ,
36, Ishbilia," Lebanese, Chicken, Salads, and Mezze", 4.8 ,
37, Muyang Hot Pot and BBQ Chinese 牧羊人餐馆," Chinese, Noodles, Chicken, and Dim Sum", 4.8 ,
38, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,
39, Azteca Chelsea," Mexican, Chicken, Dessert, and Salads", 4.7 ,
40, coco & bibi," Korean, Chicken, Asian, and Dumplings", 4.8 ,
41, The Halal Guys," Chicken, Wraps, Mediterranean, and Greek", 4.6 ,
42, JRK Kitchen, Caribbean and Chicken, 4.7 ,
43, Jia 家 - Dinner," Chinese, Noodles, Chicken, and Asian", 4.6 ,
44, Khan's Of Kensington," Curry, Indian, Chicken, and South Indian", 4.6 ,
45, Flying Noodles," Chinese, Noodles, Seafood, and Chicken", 4.6 ,
46, Apadana," Kebab, Wraps, Lebanese, and Mezze", 4.5 ,
