index,name,services,rating,bonus
1, BVRGER," American, Burgers, and Dessert", 4.7 ,"Free
delivery"
2, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,"30%
off"
3, Dirty Vegan," American, Burgers, and Drinks", 4.6 ,"Free
delivery"
4, Wulf & Lamb," Breakfast, Salads, Dessert, and Burgers", 4.8 ,"Free
delivery"
5, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.7 ,
6, Neat Burger - Plant Based🌱," American, Burgers, Milkshakes, and Dessert", 4.7 ,
7,null,,no rating,
