index,name,services,rating,bonus
32, Little Korea ," Korean, Fried chicken, Noodles, and Asian", 4.7 ,
33, Calowries," Wraps, Healthy, Salads, and Burgers", 4.8 ,
34, MamaLan - Clapham," Chinese, Noodles, Dumplings, and Dim Sum", 4.6 ,
35, Khas," Indian, Curry, Chicken, and Seafood", 4.4 ,
36, THE ORANGE BUFFALO," American, Wings, BBQ, and Fried chicken", 4.6 ,
37, YORI Korean Wimbledon," Korean, BBQ, Asian, and Noodles", 4.7 ,
38, B-Town by Werty," Burgers, American, Chicken, and Dessert", 4.5 ,
39, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,
40, Macro Food," Chicken, Salads, Healthy, and Juices", 4.8 ,
41, Chick'N'Bun," Chicken, Fried chicken, American, and Burgers", 4.4 ,
42, Hyderabadi Zaiqa," Chinese, Indian, Dessert, and Chicken",no rating,
43, Wing Shack Co," British, American, Wings, and Burgers", 4.7 ,
44, Sam's Chicken," Chicken, Fried chicken, Wraps, and British", 4.5 ,
45, Habaneros," Chicken, American, Burgers, and Milkshakes", 4.5 ,
46, Diba," Mezze, Middle Eastern, Dessert, and Chicken", 4.5 ,
47, Lahore Karahi," Pakistani, Kebab, Seafood, and Chicken", 4.5 ,
48, Honi Katsu," Asian Fusion, Curry, Japanese, and Chicken", 4.6 ,
49, Mother's Pad Thai," Thai, Chicken, and Curry",no rating,
50, Ambience," Burgers, Turkish, Seafood, and Salads", 4.5 ,
51, The Blue Moon 蓝月," Chinese, Chicken, Dim Sum, and Seafood", 4.6 ,
52, Panzerotto Blues - Sourdough Stone Baked Pizza," Pizza, Italian, Wraps, and Chicken", 4.5 ,
53, Smoke Daddies," American, Burgers, and Chicken", 4.6 ,
54, Oodles Chinese ," Chicken, Curry, Noodles, and Chinese", 4.3 ,
55, Shikumen Express," Chinese, Dim Sum, Noodles, and Seafood", 4.5 ,
56, Seascape Fish Bar," Seafood, Fish and chips, Burgers, and Chicken", 4.6 ,
57, Piri Piri Grill - 14 Upper Tooting Road," Chicken, American, Fried chicken, and Burgers", 4.5 ,
58, Lighthouse Fish Bar," British, Fish and chips, Burgers, and Chicken", 4.6 ,
59, China Palace," Chinese, Chicken, Seafood, and Noodles", 4.3 ,
60, Gourmet 2," Lebanese, Falafel, Mezze, and Dessert", 4.6 ,
61, Chefly ," Salads, British, Healthy, and Chicken", 4.7 ,
62, The Urban Greek ," Greek, Chicken, Mediterranean, and Wraps", 4.5 ,
63, New Morley," Chicken, Western, Burgers, and BBQ", 4.2 ,
64, Roosters Piri Piri ," Chicken, American, Dessert, and Burgers", 4.4 ,
65, Mountain Express," Grocery, Alcohol, Chicken, and Juices", 4.6 ,
66, Donburi & Co Japanese and Korean," Chicken, Korean, Asian, and Japanese", 4.6 ,
67, Wha Gwan Restaurant, Caribbean and Chicken, 3.7 ,
68, Best of Werty (Multi Brand Ordering)," American, Burgers, Chicken, and Dumplings", 4.5 ,
69, Gun Smoke," American, Burgers, Chicken, and Milkshakes", 4.4 ,
70, China Town," Chinese, Chicken, and Noodles", 3.9 ,
