index,name,services,rating,bonus
1, Fu Bao," Chicken, BBQ, Asian, and Taiwanese", 3.9 ,"Meal
deals"
2, Nando's, Chicken and Burgers, 4.6 ,"Free
delivery"
3, Kokoro ," Sushi, Japanese, Curry, and Chicken", 4.8 ,"Free
delivery"
4, KFC," Chicken, Fried chicken, Wings, and American", 3.9 ,"Free
delivery"
5, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
6, BabaBoom - Battersea," Middle Eastern, Kebab, Chicken, and Falafel", 4.7 ,"Free
delivery"
7, Wingstop," American, Wings, Fried chicken, and Chicken", 4.7 ,"Meal
deals"
8, Three Uncles," Chinese, BBQ, Chicken, and Noodles", 4.7 ,"Free
delivery"
9, Chilango," Burritos, Mexican, Chicken, and Salads", 4.7 ,"Meal
deals"
10, Coqfighter," Burgers, Chicken, Wings, and British", 4.6 ,"Free
delivery"
11, Mikos Gyros," Greek, Chicken, Alcohol, and Kebab", 4.7 ,
12, Nando's - Balham, Chicken and Burgers, 4.7 ,"Free
delivery"
13," 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️ - 20"" Pizzas"," Pizza, Dessert, Chicken, and American", 4.5 ,"20%
off"
14, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,"20%
off"
15, Out Fry - Korean Chicken (Balham)," Fried chicken, Korean, Asian, and Dessert", 4.6 ,
16, Poptata - Loaded Fries & Chicken," American, Burgers, and Chicken", 4.6 ,"30%
off"
17, Burger & Beyond," Burgers, American, Chicken, and Fried chicken", 4.6 ,"Meal
deals"
18, Hache," Burgers, American, Chicken, and Alcohol", 4.5 ,"Free
delivery"
19, Meat & Shake," American, Burgers, Chicken, and BBQ", 4.5 ,"Free
delivery"
20, Vintage Fish," Fish and chips, British, Brunch, and Chicken", 4.5 ,
21, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,"25%
off"
22, Thunderbird - Award Winning Chicken," American, Burgers, Chicken, and Fried chicken", 4.4 ,"Free
delivery"
23, Bird and Tie," Fried chicken, American, Burgers, and Chicken", 4.6 ,"25%
off"
24, Pasha Mangal," Turkish, Chicken, BBQ, and Salads", 4.7 ,"Free
delivery"
25, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,"Meal
deals"
26, SoBe Burger," American, Burgers, Drinks, and Dessert", 4.4 ,"40%
off"
27, Dirty Bones," Burgers, Chicken, American, and British",no rating,
28, Bosa Kitchen," Mezze, Lebanese, Turkish, and Chicken", 4.6 ,
29, Classic Sushi," Sushi, Japanese, Asian, and Salads", 4.7 ,
30, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.4 ,
31, Mr Chow Chinese Takeaway," Chinese, Chicken, and Noodles", 3.9 ,
