index,name,services,rating,bonus
1, by CHLOE," Burgers, American, Salads, and Healthy", 4.7 ,"Free
delivery"
2, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,"30%
off"
3, BVRGER," American, Burgers, and Dessert", 4.6 ,"40%
off"
4, Epic Vegan Chick ," American, Burgers, and Fried chicken", 4.6 ,"Free
delivery"
5, Best of Werty (Multi Brand Ordering)," American, Burgers, Chicken, and Dumplings", 4.5 ,"40%
off"
6, VBELLY , British and Burgers, 4.7 ,"Free
delivery"
7, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.6 ,"Meal
deals"
8,null,,no rating,
